Ticker,Company,MarketCap,Revenues_M,Profits_M,ExpectedReturn,QUBO_Select
WMT,Walmart,0.1503800808461037,1.0,0.1576488101391444,0.0964545439991047,0
AMZN,Amazon,0.5551577120614244,0.8461780467086842,0.3118241776417806,0.0221641942032386,0
AAPL,Apple,1.0,0.444529504913116,1.0000000000000002,0.0922048255630191,0
UNH,UnitedHealth Group,0.1264202457414677,0.4200677454198434,0.2286683069034672,0.211935531239904,0
BRKA,Berkshire Hathaway,0.2559714090276936,0.4050924420860555,0.9920193520375464,0.540969451405857,1
CVS,CVS Health,0.0142296870454436,0.3910274022882432,0.0835590381871937,0.6037957807859016,1
XOM,Exxon Mobil,0.138315884436607,0.3633545518420252,0.3695598238468378,0.3452658019905171,1
GOOGL,Alphabet,0.6418492965235392,0.285357131621171,0.7601670560506131,0.1211843480829973,0
MCK,McKesson,0.0146088019046461,0.2210031775328502,0.034103831124527,0.2135875322368087,0
COR,Cencora,0.0058592005492405,0.1905122854116636,0.0153441395993135,0.1686721023816375,0
COST,Costco Wholesale,0.0989618580772044,0.1488092116991936,0.0623462277999462,0.0313622577674226,0
JPM,JPMorgan Chase,0.1624991565114377,0.1428002139329047,0.509551967250398,0.4192092099783444,1
MSFT,Microsoft,0.9383059165717712,0.0851012510880166,0.7453428990840862,0.0593709522858377,0
CAH,Cardinal Health,0.0,0.0706230271506024,0.0,0.0,0
CVX,Chevron,0.0753520182266328,0.0621013664439946,0.2182066284863646,0.366123007554658,1
CI,Cigna,0.0199682092310828,0.0501798504567048,0.0506853846630967,0.2573803093664359,1
F,Ford Motor,0.0095139909902821,0.0101743972650146,0.0422395434903963,0.3858204108790032,1
BAC,Bank of America,0.085332482891532,0.0011997021718384,0.2714040564847934,0.4120305002752928,1
GM,General Motors,0.009349073226567,0.0010528854724876,0.1019910269398556,1.0,1
ELV,Elevance Health,0.0281404584153838,0.0,0.0591932515971633,0.2199917379995595,0
